lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
https://www.last.fm/music/Imagine+Dragons/Believer,Believer,Imagine Dragons,"confident, bold",2,6.43,5.56,8.82,id1246,m2vgo2omhhys5eny3tbs7r,Rock
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"romantic, soft",2,2.0,3.7,8.36,id4488,8ucqa0l1sze1wt4uvicetu,Pop
https://www.last.fm/music/Dua+Lipa/Levitating,Levitating,Dua Lipa,"sad, emotional",2,5.54,9.52,1.34,id6741,6ysin9llc4vr5semgle8dd,Pop
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"dark, intense",2,8.21,3.84,5.61,id3761,i1b5d6fxehdxo1vzn1x4o1,Hip-Hop
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"happy, energetic",2,6.97,9.47,5.12,id4080,qyebbesef25o7gr568ossu,Hip-Hop
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"confident, bold",2,9.98,4.06,2.16,id2850,nhlcb5cslo0q88ys1wzjfj,Hip-Hop
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"romantic, soft",2,9.79,2.24,4.63,id7145,8r7rihwr0nn1l8qlcjmwuy,Alternative
https://www.last.fm/music/Imagine+Dragons/Believer,Believer,Imagine Dragons,"dark, intense",2,6.73,3.09,2.27,id7734,k8hps9wu6ms8fz15mamco6,Rock
https://www.last.fm/music/Linkin+Park/Numb,Numb,Linkin Park,"energetic, retro",2,5.77,8.63,7.7,id7535,4wrtzbg11ksverawjjqeu6,Rock
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"energetic, retro",2,3.2,5.67,2.78,id1986,lhl6kz05nn6m7zh1ue841b,Pop
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"energetic, retro",2,1.13,5.97,9.81,id2407,8z3xaybr8oge9qqmgibznz,Alternative
https://www.last.fm/music/Linkin+Park/Numb,Numb,Linkin Park,"happy, energetic",2,7.29,5.3,2.58,id4496,ywqqbzbapo6612uah38dns,Rock
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"confident, bold",2,7.87,7.6,1.28,id8721,hvbb727u284hqktgmk4pz3,Pop
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"romantic, soft",2,6.48,7.35,5.73,id9846,5hlhczjsi1he5kdm4udfty,Pop
https://www.last.fm/music/Ed+Sheeran/Perfect,Perfect,Ed Sheeran,"romantic, soft",2,3.16,5.37,4.63,id9012,t3owh87qvq5fk1gngivhvk,Acoustic
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"dark, intense",2,4.14,9.09,4.62,id3715,8oi5fsn200twquypo7kdpt,Alternative
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"romantic, soft",2,6.69,7.09,9.44,id3744,zdr6zpc9xlrit8dhov651v,Alternative
https://www.last.fm/music/Ariana+Grande/7+rings,7 rings,Ariana Grande,"happy, energetic",2,6.72,7.89,1.96,id5999,umvx65ghre3u8zd5y55ka3,R&B
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"sad, emotional",2,5.79,9.86,9.79,id2107,9ipxt2gzn5k34m0823dabw,Pop
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"sad, emotional",2,9.91,1.68,7.29,id2728,qfwgh3v89kheyzsdtf9932,Alternative
https://www.last.fm/music/Imagine+Dragons/Believer,Believer,Imagine Dragons,"energetic, retro",2,6.76,9.34,7.7,id2890,gtuefujrtsip30iubruzgl,Rock
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"sad, emotional",2,2.91,3.54,6.15,id6409,ieg14jwrnz9d5t9wtohzm9,Pop
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"confident, bold",2,6.61,2.63,6.57,id6394,hmouw28yduwozozxqc851y,Pop
https://www.last.fm/music/Adele/Easy+On+Me,Easy On Me,Adele,"sad, emotional",2,5.4,9.58,3.69,id1849,c31r4xc23panp4i04rqtf5,Soul
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"happy, energetic",2,4.2,4.05,8.97,id9206,7b8m27g67ib5onyqqifkz2,Pop
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"sad, emotional",2,4.26,9.51,7.85,id5797,gpvkcbrztv0ucrlaqlgkbw,Hip-Hop
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"confident, bold",2,3.14,4.53,7.35,id1004,to83hgq07rk6l78swvi0fx,Pop
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"happy, energetic",2,3.98,5.38,6.42,id4036,yx6r3vjsti6wtq05cx78kp,Alternative
https://www.last.fm/music/Ariana+Grande/7+rings,7 rings,Ariana Grande,"sad, emotional",2,3.05,7.38,8.71,id7272,rzc3vmetcofio6xvjx9wno,R&B
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"happy, energetic",2,8.02,6.42,9.55,id6489,e3z6psvn8db2csjdm6yy71,Pop
https://www.last.fm/music/Linkin+Park/Numb,Numb,Linkin Park,"happy, energetic",2,3.97,2.03,4.89,id7384,7j46p3mrrvykkr3fkgp91q,Rock
https://www.last.fm/music/Adele/Easy+On+Me,Easy On Me,Adele,"happy, energetic",2,5.44,7.58,7.59,id6272,0bhega4bsmmcwazb6tt4kx,Soul
https://www.last.fm/music/Dua+Lipa/Levitating,Levitating,Dua Lipa,"confident, bold",2,3.88,6.66,6.51,id7645,7vmcnl7ootx5c7kem799x0,Pop
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"dark, intense",2,9.74,3.27,3.3,id9285,g2uukont709tiv30d5v4hq,Pop
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"dark, intense",2,8.81,5.17,3.81,id9126,wuno4qrz2bgzyb2vbtpjpe,Pop
https://www.last.fm/music/Adele/Easy+On+Me,Easy On Me,Adele,"energetic, retro",2,3.0,8.93,9.19,id8077,97xt5x3gn9ypceqq8501me,Soul
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"romantic, soft",2,7.8,6.53,5.24,id2483,cdyq1owigzzphjc0vvuuoq,Alternative
https://www.last.fm/music/Ariana+Grande/7+rings,7 rings,Ariana Grande,"sad, emotional",2,6.42,3.9,9.55,id6891,q0g9jxzsunc8n2bndzcnhh,R&B
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"happy, energetic",2,8.42,2.66,6.9,id4960,udfgd3hscfegtzw5hhi3wp,Hip-Hop
https://www.last.fm/music/Dua+Lipa/Levitating,Levitating,Dua Lipa,"energetic, retro",2,7.97,2.97,7.18,id2987,c0xmy00oj407az1ka902o2,Pop
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"dark, intense",2,7.9,2.29,8.7,id3678,kyetx36ue2rwawd7dj3hhk,Pop
https://www.last.fm/music/Dua+Lipa/Levitating,Levitating,Dua Lipa,"confident, bold",2,9.49,6.22,8.86,id3839,sn04e2oit8jwqrw2qxo1bn,Pop
https://www.last.fm/music/Adele/Easy+On+Me,Easy On Me,Adele,"sad, emotional",2,2.09,8.86,2.71,id1299,2vczstri9rgcjq3jzo9b6d,Soul
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"dark, intense",2,2.67,3.99,1.5,id4599,37d7vkntudijf0mrqqf317,Pop
https://www.last.fm/music/The+Weeknd/Blinding+Lights,Blinding Lights,The Weeknd,"happy, energetic",2,7.06,5.66,7.15,id6542,rwxw9aka2piyy6q4vnlvwh,Pop
https://www.last.fm/music/Adele/Easy+On+Me,Easy On Me,Adele,"dark, intense",2,5.07,4.52,4.74,id5588,uqnjdjh83zegqvxzlfejd1,Soul
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"confident, bold",2,9.29,2.99,8.35,id1362,8ld4n7j0mzfdn7ziuhli1p,Pop
https://www.last.fm/music/Drake/God's+Plan,God's Plan,Drake,"happy, energetic",2,9.76,4.08,2.8,id1137,cnuuxvk4n8ttqaum74ku8t,Hip-Hop
https://www.last.fm/music/Ed+Sheeran/Perfect,Perfect,Ed Sheeran,"sad, emotional",2,2.04,3.33,8.88,id1971,835gv6lb2rgk5sek56odaj,Acoustic
https://www.last.fm/music/Imagine+Dragons/Believer,Believer,Imagine Dragons,"happy, energetic",2,1.64,2.95,2.15,id2354,bnjsd88tulsnlbsvgve8so,Rock
https://www.last.fm/music/Billie+Eilish/bad+guy,bad guy,Billie Eilish,"romantic, soft",2,5.75,6.11,9.17,id6930,kiq17ppvyf5p8cjku3cjml,Pop
https://www.last.fm/music/Imagine+Dragons/Believer,Believer,Imagine Dragons,"romantic, soft",2,3.87,7.37,7.28,id3013,yygh4kojougfz59g64m2t6,Rock
https://www.last.fm/music/Coldplay/Yellow,Yellow,Coldplay,"happy, energetic",2,2.77,8.56,8.01,id2087,rlo25oc9ge67gjmh87wcew,Alternative
